,Unnamed: 0,latitud,longitud,titulo,tipo_propiedad,precio,moneda,m2,ambientes
295,295,-34.596863,-58.39617,"Excelente Departamento En Recoleta Para 2/3 Personas,divino!",Apartamento,2200.0,COP,49.0,2.0
296,296,-34.60488,-58.44466,Departamento - Caballito Norte 1 Ambiente Ideal Renta Futura O Espacios De Coworking,Apartamento,54700.0,USD,22.0,1.0
297,297,-34.562084,-58.456688,Departamento De 1 Ambiente En Venta En Belgrano Con Renta,Apartamento,105000.0,USD,35.0,1.0
298,298,-34.600933,-58.37319,Departamento Céntrico (800 Usd/mes De Renta Opcional) D.dire,Apartamento,99997.0,USD,40.0,2.0
299,299,-34.58436,-58.476524,"Dpto Muy Luminoso, 250 M De Los Incas Línea B- Villa Urquiza",Casa,20000.0,COP,34.0,1.0
300,300,-34.592625,-58.398056,Hermoso Departamento En Recoleta Para 2/3 Personas. Soñado !,Apartamento,2000.0,COP,37.0,2.0
301,301,-34.598633,-58.397476,Excelente Monoambiente En Recoleta.,Apartamento,18000.0,COP,35.0,1.0
302,302,-34.578033,-58.42361,"Beruti 4529,palermo. Un Ambiente, Cocina Y Baño",Apartamento,17000.0,COP,33.0,1.0
303,303,-34.591652,-58.39021,Departamento En Alquiler Temporario En Recoleta,Apartamento,2500.0,COP,54.0,2.0
304,304,-34.60231,-58.363804,Alquiler 3 Ambientes Puerto Madero,Apartamento,120000.0,COP,140.0,3.0
305,305,-34.567715,-58.454853,"3 Amb. Confort, Comodidad Y Una Gran Vista",Apartamento,27.0,USD,65.0,3.0
306,306,-34.597904,-58.404564,Alquiler Dpto 2 Ambientes / Contrafrente / Barrio Norte,Apartamento,27000.0,COP,46.0,2.0
307,307,-34.62995,-58.40581,Alquiler 2 Amb.balcon A Mts Subte,Apartamento,45000.0,COP,49.0,2.0
308,308,-34.61879,-58.518852,Dto De 1 Ambiente  Con Balcon Vista Panoramica,Apartamento,25000.0,COP,30.0,1.0
309,309,-34.565758,-58.454773,Ciudad De La Paz 1700. Excelente Monoambiente Apto Profesional1!!,Apartamento,25000.0,COP,37.0,1.0
310,310,-34.625435,-58.451534,"Malvinas Argentinas 68. Excelente Depto Con Patio, Balcon Terraza Y Amenities",Apartamento,24000.0,COP,53.0,1.0
311,311,-34.58532,-58.41596,"Santa Fe 3700. Torre De Exclente Cat, Unica Vista Con Cohera Y Amenities!!",Apartamento,130000.0,COP,92.0,3.0
312,312,-34.607456,-58.38346,Monoambiente Recién Refaccionado Luminoso !,Apartamento,20000.0,COP,25.0,1.0
313,313,-34.604538,-58.42437,Departamento 2 Amb Temporario Zona Hospital Italiano Cochera,Apartamento,1700.0,COP,70.0,2.0
314,314,-34.61107,-58.362644,"Departamento  En Alquiler Ubicado En Puerto Madero, Capital Federal",Apartamento,80000.0,COP,69.0,2.0
315,315,-34.61558,-58.361973,"Departamento  En Alquiler Ubicado En Puerto Madero, Capital Federal",Apartamento,65000.0,COP,57.0,2.0
316,316,-34.61558,-58.361973,"Departamento Duplex  En Alquiler Ubicado En Puerto Madero, Capital Federal",Apartamento,125000.0,COP,145.0,3.0
317,317,-34.592213,-58.37897,"Sobre Arroyo 800 Espectacular Depto 3 Dorm  Dependencia,2 Cocheras.",Apartamento,2500.0,USD,175.0,4.0
318,318,-34.58167,-58.472008,Dos Ambientes Al Frente * Luminoso * Excelente Ubicacion,Apartamento,22000.0,COP,38.0,2.0
319,319,-34.58133,-58.409348,Departamento Reciclado Palermo 3 Ambientes Bajos Requisitos,Apartamento,55000.0,COP,60.0,3.0
320,320,-34.597607,-58.379425,Departamento Interno Muy Luminoso! 8vo Piso En Retiro,Apartamento,20500.0,COP,36.0,2.0
321,321,-34.580856,-58.450512,4amb Temporario Ideal Extranjeros Ó Interior Balcon Parrilla,Apartamento,75000.0,COP,116.0,4.0
322,322,-34.55283,-58.45281,"Excel Deptoamoblado Tv, Wifi A Mts De Libertador",Apartamento,25000.0,COP,36.0,1.0
323,323,-34.605865,-58.42586,Departamento 3 Amb. Frente Hptal Italiano Almagro- Alq.temp.,Apartamento,1600.0,COP,50.0,3.0
324,324,-34.603012,-58.39168,Departamento En Alquiler Excelente Ubicación Apto Profesiona,Apartamento,22000.0,COP,35.0,1.0
325,325,-34.65668,-58.477356,Dño Alq 3 Amb Al Fte Con Balcon Sin Expen Con Prop  Garantia,Apartamento,28000.0,COP,60.0,3.0
326,326,-34.593655,-58.379845,Alquiler Temporario 2 Ambientes Recoleta A Nuevo!,Apartamento,30000.0,COP,55.0,2.0
327,327,-34.57208,-58.433857,Excelente Depto Monoambientes Muy Luminoso,Apartamento,22500.0,COP,38.5,1.0
328,328,-34.626606,-58.44765,Departamento 3 Ambientes Impecable En Valle 1400 Con Cochera,Apartamento,49999.0,COP,64.0,3.0
329,329,-34.559,-58.458027,Departamento 1 Ambiente. Amueblado En Belgrano.,Apartamento,22000.0,COP,32.0,1.0
330,330,-34.586346,-58.440098,Loft Pent House Espectacular En Alquiler Palermo Hollywood,Apartamento,79000.0,COP,98.0,3.0
331,331,-34.60505,-58.37944,Buenos Aires Alquiler Temporario En Microcentro,Apartamento,1500.0,COP,30.0,1.0
332,332,-34.578064,-58.426533,Loft Pent House Palermo Hollywood  Con Muy Buena Renta,Apartamento,398000.0,USD,98.0,3.0
333,333,-34.55716,-58.4507,Mendoza 1700 Monoambiente Con Balcón A/prof,Apartamento,19000.0,COP,33.0,1.0
334,334,-34.578945,-58.440144,Monoambiente Amoblado,Apartamento,34000.0,COP,35.0,1.0
335,335,-34.575977,-58.435097,Palermo - Espléndido  Y Moderno 2 Amb. Totalmente Equipado,Apartamento,40000.0,COP,60.0,2.0
336,336,-34.62154,-58.372772,Impecable Monoambiente En San Telmo Completamente Equipado,Apartamento,27000.0,COP,30.0,1.0
337,337,-34.592407,-58.41411,Alquiler Dpto 1 Amb  Sin Garantia  Palermo Ideal  Extranjero,Apartamento,14000.0,COP,25.0,1.0
338,338,-34.578735,-58.48421,Dto De 1 Ambiente En Alquiler Con Balcon A Estrenar,Apartamento,30000.0,COP,280.0,1.0
339,339,-34.578415,-58.412132,Departamento En Alquiler Excelente Ubicacion En Palermo,Apartamento,20000.0,COP,32.0,2.0
340,340,-34.596634,-58.407135,Monoambiente Luminoso. Recoleta Frente A Plaza!dueño Directo,Apartamento,25000.0,COP,23.0,1.0
341,341,-34.56818,-58.45568,Alquilo 3 Amb Belgrano.exc Ubic. Apto Prof,Apartamento,39500.0,COP,75.0,3.0
342,342,-34.59813,-58.42348,Hermoso Dpto De 1 Ambiente En Almagro,Apartamento,17500.0,COP,27.0,1.0
343,343,-34.589344,-58.408257,Departamento En Alquiler Temporario Recoleta,Apartamento,35000.0,COP,36.0,2.0
344,344,-34.62124,-58.42175,Alqu 2 Amb Nuevo Placard Porcelanato A/ac Balcon/bño Comp,Apartamento,30000.0,COP,58.0,2.0
345,345,-34.591187,-58.416046,Departamento En Alquiler Palermo / Vidt  Al 1700,Apartamento,24000.0,COP,45.0,1.0
346,346,-34.585365,-58.44143,Palermo Divino C/ Muebl.c / Amenitis.alq. Por 3 Años O Temp.,Apartamento,24000.0,COP,32.0,1.0
347,347,-34.59177,-58.37799,Departamento Barrio Retiro Alquiler 2 Amb Temporal,Apartamento,42000.0,COP,45.0,2.0
348,348,-34.601116,-58.413807,Alquiler Departamento Monoambientes,Apartamento,9499.0,COP,18.0,1.0
349,349,-34.596775,-58.41723,Alquiler Temporario Palermo Dueño Directo,Apartamento,50000.0,COP,75.0,3.0
350,350,-34.59533,-58.39964,Monoambiente En Recoleta En Excelente Estado,Apartamento,24000.0,COP,34.0,1.0
351,351,-34.570213,-58.432354,"Departamento - Las Cañitas, 2 Amb - Libre Ya",Apartamento,36000.0,COP,45.0,2.0
352,352,-34.567448,-58.43239,Tres Ambientes Es Las Cañitas!,Apartamento,43000.0,COP,60.0,3.0
353,353,-34.58842,-58.391846,"Departamento Dos Ambientes En Recoleta, Libre Ya",Apartamento,30000.0,COP,40.0,2.0
354,354,-34.65668,-58.477356,Dueño Alquila 2 Amb. Sin/expens. Con  Garantia Prop  Sin Abl,Apartamento,25000.0,COP,35.0,2.0
355,355,-34.602333,-58.49075,Alquiler Temporario Studio  En Villa Del Parque,Apartamento,31000.0,COP,42.0,1.0
356,356,-34.580845,-58.41637,"Departamento, Alquiler, Palermo, 4 Ambientes, Impecable !!!!",Apartamento,57000.0,COP,82.0,4.0
357,357,-34.596134,-58.43972,"Dos Ambientes - Alquilá Por Dia, Semana, O Mes!!",Apartamento,2500.0,COP,61.0,2.0
358,358,-34.61476,-58.46331,Dto De 1 Ambiente Con Balcon Edificio Nuevo,Apartamento,30000.0,COP,39.0,1.0
359,359,-34.587315,-58.395046,Departamento Monoambiente Pleno Corazon De Recoleta,Apartamento,17000.0,COP,25.0,1.0
360,360,-34.58516,-58.422688,Excelente Departamento Palermo Ubicación Luminiso Piscina,Apartamento,27000.0,COP,40.0,1.0
361,361,-34.579765,-58.424946,Cálido Y Funcional Departamento Monoambiente En Palermo!!,Apartamento,2000.0,COP,40.0,1.0
362,362,-34.610325,-58.426018,Alquiler Departamento Hospital Italiano,Apartamento,2800.0,COP,84.0,3.0
363,363,-34.58066,-58.41252,Emblemático Edificio. Lindísimo Departamento Bañado De Luz.,Apartamento,140000.0,COP,130.0,4.0
364,364,-34.619213,-58.360336,Dueño Alquila Departamento En Pesos - Puerto Madero,Apartamento,149000.0,COP,112.0,3.0
365,365,-34.618603,-58.39738,"Alquiler Temporario,san Cristobal, Cerca Subtes Y Hospitales",Apartamento,2000.0,COP,30.0,1.0
366,366,-34.585846,-58.394215,Alquiler Temporario,Apartamento,50000.0,COP,68.0,3.0
367,367,-34.61103,-58.362637,"Departamento  En Alquiler Ubicado En Puerto Madero, Capital Federal",Apartamento,179000.0,COP,149.0,3.0
368,368,-34.586346,-58.440098,Loft  En Duplex Amoblado Para Renta Palermo Hollywood  Dueño,Apartamento,298000.0,USD,70.0,2.0
369,369,-34.60028,-58.401077,Departamentos Alquiler 1 Amb Sin Garantía Ideal Extranjeros,Apartamento,19900.0,COP,30.0,1.0
370,370,-34.632877,-58.386208,Departamento En Torre De 2 Ambientes. Cochera Optativa,Apartamento,18300.0,COP,37.0,2.0
371,371,-34.6173,-58.361565,Departamento 2 Ambientes Con Cochera Zencity,Apartamento,69900.0,COP,65.0,2.0
372,372,-34.602097,-58.457714,Monoambiente Todo Equipado!. Dueño Directo!,Apartamento,19500.0,COP,24.0,1.0
373,373,-34.599678,-58.371433,"Alquiler Temporal 25 De Mayo 700. Monoambiente, Retiro.",Apartamento,27000.0,COP,34.0,1.0
374,374,-34.639805,-58.52898,Departamento Alquiler 2 Amb Muy Lum Refaccionado,Apartamento,14000.0,COP,34.0,2.0
375,375,-34.581833,-58.430397,Quartier Boulevard- Dpto 3amb Con Cochera. Palermo,Apartamento,98000.0,COP,80.0,3.0
376,376,-34.586723,-58.409622,Departamento 2 Ambientes Palermo Alquiler Temporal,Apartamento,600.0,USD,50.0,2.0
377,377,-34.58677,-58.43774,"Alquiler Temporal 2 Ambientes, Balcón, Cochera (opcional)",Apartamento,39990.0,COP,63.0,2.0
378,378,-34.625076,-58.369778,Monoambiente Balcarce 1400 1er Piso Por Escalera,Apartamento,18500.0,COP,25.0,1.0
379,379,-34.60577,-58.425495,Monoambiente   Fte Al Hospital Italiano Ideal Renta,Apartamento,84900.0,USD,36.0,1.0
380,380,-34.60003,-58.376904,Alquilo Dpto Amoblado A Tres Cuadras Del Obelisco,Apartamento,2000.0,COP,25.0,2.0
381,381,-34.612984,-58.360928,Alquiler Departamento 2 Dormitorios  Torre Mulieris,Apartamento,2800.0,USD,172.0,6.0
